id,tick_lower,tick_upper,ticks,deposited_token0,deposited_token1,collected_token0,collected_token1,total_deposited_usd,total_profit_usd,apr_30d,apr,price_lower,price_upper,price_range,price_mid
"113348","-3","-1","2","567953.924221","206294.600984","0","774150.077215","774248.5252050001","305.1725540301718","0.04","0.44","0.9997","0.9999","0.0002","0.9998"
"127718","1","2","1","149000.262179","1950567.117937","0","2099596.652789","2099567.380116","303.3082645790012","0.01","0.17","1.0001","1.0002","0.0001","1.0002"
"120581","-2","-1","1","1122522.402461","499469.769708","356374.844611","1265505.628203","1621992.172169","297.48480111835715","0.02","0.21","0.9998","0.9999","0.0001","0.9999"
"82785","-2","-1","1","788888.16773","158631.265153","0","947407.717752","947519.432883","292.4821338340958","0.03","0.32","0.9998","0.9999","0.0001","0.9999"
"42893","-5","-2","3","49896.924224","26440.970049","0","76323.026341","76337.894273","291.5478092223781","0.27","3.31","0.9995","0.9998","0.0003","0.9997"
"113244","-3","-2","1","221343.290433","329819.624563","0","551114.207204","551162.914996","285.51918018504824","0.05","0.58","0.9997","0.9998","0.0001","0.9998"
"75537","1","2","1","133859.215821","28000.521516","161856.695434","0","161859.737337","280.9204569119214","0.14","1.75","1.0001","1.0002","0.0001","1.0002"
"45391","-3","-2","1","30796.717557","4161.47609","0","34950.625","34958.193647","278.09325206774685","0.57","6.98","0.9997","0.9998","0.0001","0.9998"
"45411","-3","-2","1","28843.337328","31283.590092","0","60120.194955","60126.92742","276.85406292762127","0.33","4.04","0.9997","0.9998","0.0001","0.9998"
"136189","12","13","1","276857.832738","501934.603479","307609.367912","471144.223453","778792.436217","274.1936470088914","0.03","0.42","1.0012","1.0013","0.0001","1.0013"
"110333","-1","0","1","719122.785958","74274.221781","793404.087461","0","793397.007739","271.68474776216846","0.03","0.38","0.9999","1.0000","0.0001","1.0000"
"205348","2","3","1","248377.527789","84947.124627","333306.583572","0","333324.652416","263.47293222117105","0.10","1.24","1.0002","1.0003","0.0001","1.0003"
"182220","1","2","1","303073.281356","96797.173981","395304.252363","4555.81066","399870.45533699996","261.01456184013915","0.08","0.94","1.0001","1.0002","0.0001","1.0002"
"127301","1","2","1","167755.148","1287572.908579","0","1455360.618931","1455328.056579","257.0557316375656","0.02","0.21","1.0001","1.0002","0.0001","1.0002"
"53918","-3","-2","1","25640.378588","59988.23661","0","85623.103834","85628.615198","253.83774540180914","0.23","2.75","0.9997","0.9998","0.0001","0.9998"
"113195","-3","-2","1","197125.144411","430048.118142","0","627130.195728","627173.262553","253.81831782563492","0.04","0.46","0.9997","0.9998","0.0001","0.9998"
"101985","1","2","1","299707.549403","150000","140758.575577","308972.979713","449707.549403","247.40278489082854","0.05","0.59","1.0001","1.0002","0.0001","1.0002"
"206573","2","3","1","353934.09364","42708.474328","368286.434781","28353.134014","396642.56796799996","235.88274255777958","0.08","0.94","1.0002","1.0003","0.0001","1.0003"
"40278","-3","-2","1","23305.803905","2668.959837","0","25969.058039","25974.763742","235.5049695594118","0.64","7.74","0.9997","0.9998","0.0001","0.9998"
"68181","4","6","2","266016.448126","219145.576474","485064.478791","0","485162.0246","235.28734075401653","0.04","0.48","1.0004","1.0006","0.0002","1.0005"
"43647","-5","-4","1","91298.938026","21453.894369","0","112712.627651","112752.832395","234.927672574208","0.15","1.81","0.9995","0.9996","0.0001","0.9996"
"131603","4","5","1","685319.543365","1399633.740024","0","2085284.739708","2084953.283389","216.4933750572159","0.01","0.12","1.0004","1.0005","0.0001","1.0005"
"38560","-3","-1","2","49641.372264","101798.124318","144697.503823","6763.688595","151439.496582","215.95826829325276","0.10","1.21","0.9997","0.9999","0.0002","0.9998"
