id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_est_30d	price_lower	price_upper	price_range	price_mid
303872.0	-1.0	1.0	2.0	751.5	249.1	0.0	0.0	1000.6	-1000.6	-1216.67	0.9999	1.0001	0.00019999	1.0
303905.0	-1.0	0.0	1.0	49312.6	51860.7	0.0	101172.0	101173.0	-1.20179	-0.0144522	0.9999	1.0	9.999e-05	0.99995
304026.0	-2.0	3.0	5.0	22000.0	9562.12	31563.3	0.0	31562.1	1.1882	0.045803	0.9998	1.0003	0.0005	1.00005
304044.0	-1.0	0.0	1.0	1228.66	1306.77	0.0	2535.4	2535.43	-0.02977	-0.0142856	0.9999	1.0	9.999e-05	0.99995
304184.0	-1.0	0.0	1.0	21886.1	23698.6	0.0	45584.1	45584.6	-0.525484	-0.0140253	0.9999	1.0	9.999e-05	0.99995
304402.0	-2.0	3.0	5.0	967.729	437.0	1404.78	0.0	1404.73	0.053413	0.0462622	0.9998	1.0003	0.0005	1.00005
304456.0	-2.0	3.0	5.0	1672.32	755.321	2427.73	0.0	2427.64	0.092313	0.0462647	0.9998	1.0003	0.0005	1.00005
304641.0	-1.0	1.0	2.0	14.3649	7.96474	4.2459	18.0839	22.3297	9.1e-05	0.00495828	0.9999	1.0001	0.00019999	1.0
304734.0	-2.0	2.0	4.0	142.014	93.9971	137.482	98.5286	236.011	-0.000168	-0.000866061	0.9998	1.0002	0.00039998	1.0
305271.0	-1.0	0.0	1.0	85848.3	161742.0	0.0	247589.0	247590.0	-1.4882	-0.00731308	0.9999	1.0	9.999e-05	0.99995
305397.0	-1.0	1.0	2.0	751.872	363.771	0.0	1115.67	1115.64	0.024514	0.0267338	0.9999	1.0001	0.00019999	1.0
305413.0	-2.0	3.0	5.0	1317.08	649.97	0.0	1967.23	1967.05	0.174656	0.108029	0.9998	1.0003	0.0005	1.00005
305594.0	-1.0	0.0	1.0	11531.5	22295.0	0.0	33826.3	33826.5	-0.196543	-0.00706923	0.9999	1.0	9.999e-05	0.99995
305667.0	-1.0	0.0	1.0	15892.7	31767.0	0.0	47659.4	47659.7	-0.264959	-0.00676393	0.9999	1.0	9.999e-05	0.99995
305713.0	-2.0	2.0	4.0	2801.54	1999.3	0.0	4801.07	4800.84	0.233338	0.0591344	0.9998	1.0002	0.00039998	1.0
305729.0	-1.0	1.0	2.0	3220.05	1606.89	4827.05	0.0	4826.94	0.107192	0.0270185	0.9999	1.0001	0.00019999	1.0
305790.0	-1.0	1.0	2.0	20.7695	10.3644	31.1346	0.0	31.1339	0.000691	0.0270033	0.9999	1.0001	0.00019999	1.0
305791.0	-1.0	0.0	1.0	178.124	354.848	0.0	532.969	532.972	-0.002978	-0.00679817	0.9999	1.0	9.999e-05	0.99995
305998.0	-1.0	0.0	1.0	3.30307	6.6957	0.0	9.99871	9.99877	-5.5e-05	-0.00669249	0.9999	1.0	9.999e-05	0.99995
306114.0	-2.0	3.0	5.0	2989.81	1497.81	4123.68	364.047	4487.61	0.109154	0.0295935	0.9998	1.0003	0.0005	1.00005
306204.0	-2.0	3.0	5.0	444.839	222.941	0.0	0.0	667.78	-667.78	-1216.67	0.9998	1.0003	0.0005	1.00005
306217.0	-2.0	3.0	5.0	158.582	79.4724	0.0	0.0	238.054	-238.054	-1216.67	0.9998	1.0003	0.0005	1.00005
