id,owner,tick_lower,tick_upper,tick_width,category,deposited_token0,deposited_token1,collected_token0,collected_token1,total_deposited_usd,total_profit_usd,apr_est_30d,price_lower,price_upper,price_range,price_mid
297603,,-3,0,3,2–5 ticks,448.279142,834.960819,0.0,1283.216474,1283.239961,-0.023486999999931868,-0.022268516309021883,0.9997000599900016,1.0,0.00029994000999844506,0.9998500299950008
298254,,-2,0,2,2–5 ticks,501.547132,461.334498,0.0,962.855508,962.88163,-0.026121999999986656,-0.03300693011107755,0.9998000299960005,1.0,0.0001999700039995167,0.9999000149980002
299245,,-3,3,6,6–10 ticks,1770.422802,862.208882,0.0,0.0,2632.631684,-2632.631684,-1216.6666666666665,0.9997000599900016,1.0003000300009999,0.0005999700109983186,1.0000000449955007
299338,,-1,3,4,2–5 ticks,5374.479268,0.0,3372.141825,2002.286402,5374.479268,-0.051040999999713677,-0.01155458607920059,0.9999000099990001,1.0003000300009999,0.00040002000199979015,1.00010002
299699,,-3,2,5,2–5 ticks,2396.561034,1550.479982,0.0,3947.15655,3947.041016,0.11553400000002512,0.03561310006581832,0.9997000599900016,1.00020001,0.0004999500099983623,0.9999500349950008
299938,,-3,0,3,2–5 ticks,14000.0,25802.210024,0.0,39801.471488,39802.210024,-0.7385359999971115,-0.022575433192981206,0.9997000599900016,1.0,0.00029994000999844506,0.9998500299950008
300239,,-7,5,12,>10 ticks,24267.932699,23835.404703,24267.932698,23835.404702,48103.337402000005,-2.0000006770715117e-06,-5.058555785367401e-08,0.9993002799160211,1.0005001000100004,0.0011998200939793424,0.9999001899630108
300299,,-2,0,2,2–5 ticks,24267.932698,21794.690567,24268.645245,21793.978093,46062.623265,7.300000288523734e-05,1.9281722116882733e-06,0.9998000299960005,1.0,0.0001999700039995167,0.9999000149980002
300469,,-2,-1,1,1 tick,8.817631,181.980872,0.0,190.7976,190.798503,-0.0009030000000223026,-0.005758168867955608,0.9998000299960005,0.9999000099990001,9.998000299960008e-05,0.9998500199975002
300666,,-1,0,1,1 tick,8057.035819,2634.835673,0.0,10691.567941,10691.871492,-0.30355100000087987,-0.03454216444808012,0.9999000099990001,1.0,9.999000099991662e-05,0.9999500049995
300669,,-1,0,1,1 tick,9701.947601,3782.455161,0.0,13484.053766,13484.402762,-0.34899599999880593,-0.031489106895793206,0.9999000099990001,1.0,9.999000099991662e-05,0.9999500049995
300670,,-1,0,1,1 tick,28040.060488,10930.332178,0.0,38969.383979,38970.392666,-1.0086870000013732,-0.031491493055249134,0.9999000099990001,1.0,9.999000099991662e-05,0.9999500049995
300672,,-1,0,1,1 tick,2888.324613,2111.663082,799.153118,4200.767123,4999.987695,-0.0674539999999979,-0.016413847061143773,0.9999000099990001,1.0,9.999000099991662e-05,0.9999500049995
300673,,-1,0,1,1 tick,731.489951,640.652631,0.0,1372.123085,1372.142582,-0.019497000000001208,-0.017287817105293705,0.9999000099990001,1.0,9.999000099991662e-05,0.9999500049995
300674,,-1,0,1,1 tick,25520.428069,24679.647345,0.0,50199.413755,50200.075414000006,-0.6616590000048745,-0.01603620001298691,0.9999000099990001,1.0,9.999000099991662e-05,0.9999500049995
300727,,-3,0,3,2–5 ticks,2131.998578,9866.141853,0.0,11998.083612,11998.140431,-0.05681899999945017,-0.005761708135541689,0.9997000599900016,1.0,0.00029994000999844506,0.9998500299950008
